7
senna	F
Ayrton Senna
tempos	20
3,58.102,23/10/2022
3,58.002,23/10/2022
3,57.822,23/10/2022
3,57.633,23/10/2022
3,57.599,23/10/2022
3,57.388,23/10/2022
3,57.294,23/10/2022
3,57.234,23/10/2022
3,57.279,23/10/2022
3,57.240,23/10/2022
3,57.236,23/10/2022
2,57.300,24/10/2022
2,57.302,24/10/2022
2,57.303,24/10/2022
2,57.301,24/10/2022
2,57.305,24/10/2022
2,57.306,24/10/2022
2,57.298,24/10/2022
2,57.295,24/10/2022
2,57.290,24/10/2022
sergio	F
Sérgio Barbosa 
tempos	15
9,59.000,23/10/2022
9,59.050,23/10/2022
9,58.657,23/10/2022
9,58.236,23/10/2022
9,57.987,23/10/2022
9,57.888,23/10/2022
9,57.289,23/10/2022
9,57.001,23/10/2022
8,58.520,24/10/2022
8,58.007,24/10/2022
8,57.302,24/10/2022
8,56.912,24/10/2022
8,56.789,24/10/2022
8,56.826,24/10/2022
8,56.795,24/10/2022
passao	R
Pedro Passão
tempos	13
11,61.195,23/10/2022
11,60.195,23/10/2022
11,59.225,23/10/2022
11,58.987,23/10/2022
11,58.664,23/10/2022
11,58.446,23/10/2022
11,58.100,23/10/2022
11,58.005,23/10/2022
11,58.008,23/10/2022
11,58.009,23/10/2022
11,58.006,23/10/2022
11,58.005,23/10/2022
11,58.006,23/10/2022
max	R
Max Verstappen
tempos	13
15,62.999,23/10/2022
15,60.001,23/10/2022
15,59.225,23/10/2022
15,58.987,23/10/2022
15,58.758,23/10/2022
15,58.638,23/10/2022
15,58.312,23/10/2022
15,58.350,23/10/2022
22,59.881,24/10/2022
22,58.789,24/10/2022
22,58.512,24/10/2022
22,58.313,24/10/2022
22,58.322,24/10/2022
leclerc	R
Charles Leclerc
tempos	10
13,61.888,23/10/2022
13,61.003,23/10/2022
13,60.101,23/10/2022
13,59.256,23/10/2022
13,58.951,23/10/2022
13,58.753,23/10/2022
13,58.389,23/10/2022
13,58.333,23/10/2022
13,58.347,23/10/2022
13,58.347,23/10/2022
lewis	C
Lewis Hamilton
tempos	8
13,65.555,24/10/2022
13,60.876,24/10/2022
13,59.061,24/10/2022
13,58.888,24/10/2022
13,58.603,24/10/2022
13,58.460,24/10/2022
13,58.482,24/10/2022
13,58.507,24/10/2022
schumi	C
Michael Schumacher
tempos	9	
1,80.321,24/10/2022
1,59.583,24/10/2022
1,58.111,24/10/2022
1,57.713,24/10/2022
1,57.632,24/10/2022
1,57.454,24/10/2022
1,57.403,24/10/2022
1,57.412,24/10/2022
1,57.482,24/10/2022
